State,County,Democratic,Republican,Party
NV,eureka,0.0,0.0,0
TX,zavala,0.0,0.0,0
VA,king george,9180.29175121728,4111.663448321606,0
OH,hamilton,242020.20440048224,153849.1176621308,1
TX,austin,336.64600918983706,0.0,0
MI,barry,8241.511960846085,13434.09740284584,0
NM,valencia,10194.308524580063,2086.647924369474,0
TX,ellis,38077.239133650204,20954.472451489677,0
NJ,mercer,117187.18595086304,61115.467725223134,0
PA,cambria,33335.097468977154,30123.19007927404,0
IN,switzerland,0.0,3192.4219862108475,0
NV,lander,0.0,0.0,0
NE,cherry,0.0,1687.5842395909021,0
VA,radford city,0.0,15302.120593477655,0
FL,lee,201231.58477628246,122571.6141837006,0
MI,arenac,0.0,7066.724177373322,0
TX,shackelford,0.0,7745.419423338313,0
NJ,gloucester,85309.79293067193,49124.63957891977,0
OH,trumbull,51170.53074041458,39488.05135421153,0
OH,lawrence,4811.669475553779,13045.643274337914,0
ND,burke,0.0,2010.278606096872,0
TX,hardeman,0.0,0.0,0
NE,keya paha,0.0,8322.65092405764,0
VA,norton city,0.0,4212.223985134391,0
ND,bowman,0.0,4248.012610193486,0
UT,duchesne,0.0,0.0,0
MN,carlton,3606.200177321036,8867.57842399125,0
FL,okaloosa,55656.36029127728,36058.02135674743,0
TX,oldham,0.0,5163.802400824152,0
MT,lewis and clark,25419.327265571235,22402.074270141733,0
NY,rockland,101458.57905142721,50974.90871513332,0
TX,waller,0.0,0.0,0
VA,falls church city,44521.35721736637,13137.277728007462,1
PA,potter,0.0,9546.217473071296,0
MI,gratiot,0.0,9022.420722757653,0
MI,shiawassee,8212.464237459553,14492.788531895007,0
MN,polk,2587.7419738892495,9125.900814785091,0
ND,billings,0.0,4293.310304247292,0
ND,mckenzie,0.0,0.0,0
WY,weston,0.0,1432.2354879741615,0
MT,jefferson,7465.327259354337,12655.649881409943,0
VT,bennington,14366.487877211342,18930.429805096417,0
FL,clay,53102.934963439766,32991.76662236151,0
AZ,yuma,43727.9325370006,17903.25518600501,1
TX,terrell,0.0,0.0,0
MA,bristol,161351.36186677733,100557.55572525068,0
WV,webster,0.0,8297.241638821932,0
TX,collingsworth,0.0,0.0,0
NY,chautauqua,30639.927358539706,28674.33976791511,0
TN,fayette,5760.909432523968,6391.809113652831,0
TX,bandera,4306.6136840941035,7431.514933144157,0
NJ,union,164959.9034738995,86456.9089207856,1
TX,sherman,0.0,0.0,0
NY,seneca,1806.683208353952,9125.795798164483,0
TX,martin,0.0,0.0,0
UT,tooele,5536.661763609569,6611.670521910328,0
MD,talbot,18017.469377250833,12731.879553594616,0
FL,highlands,20643.132796824637,14067.361191091675,0
IN,gibson,0.0,7460.107207872636,0
MD,allegany,11147.933308639118,15322.94936486172,0
MI,mecosta,1844.4039303504069,14822.655153688593,0
TX,jasper,0.0,2944.4424288585906,0
DE,new castle,166746.1994543005,98857.1120230423,0
VA,warren,2513.014093429032,4923.870183329316,0
OH,ashtabula,15188.163111787562,19094.120942708643,0
WV,ohio,12810.32501457866,18210.491487720763,0
NM,bernalillo,200927.61573715924,121168.47509508596,1
FL,calhoun,0.0,784.9060262288112,0
NM,torrance,0.0,3314.16111843197,0
UT,box elder,3492.014496457363,9456.537673430914,0
FL,columbia,7677.6973852564915,11399.530974066878,0
TX,edwards,0.0,0.0,0
MI,iron,0.0,10815.91680364508,0
IN,bartholomew,21782.657112002507,17233.216160721404,0
MT,treasure,0.0,8080.192517688749,0
FL,liberty,0.0,1311.3140723896395,0
WV,brooke,0.0,8832.091292148401,0
TX,ward,0.0,0.0,0
WA,skamania,0.0,6989.447569978325,0
VA,caroline,0.0,1009.3117542486943,0
VA,floyd,0.0,8185.354256210796,0
MI,dickinson,3328.1077730811776,11743.157670800843,0
MA,dukes,14679.21873719246,10684.923607385792,0
MT,richland,0.0,0.0,0
TX,trinity,0.0,2888.016074955569,0
TN,clay,0.0,10056.598971316185,0
NE,howard,0.0,7362.465825059959,0
WV,putnam,12805.91015126664,14798.18532213111,0
WY,laramie,24521.388827364615,17710.65857724049,0
VT,lamoille,11852.372337491539,19821.998627385055,0
WI,green,5011.758487361436,10231.023185755621,0
TX,childress,0.0,0.0,0
MA,hampden,134194.8585900488,83707.11423297017,0
FL,hardee,0.0,0.0,0
OH,allen,18835.282460549326,18713.409699617827,0
NM,colfax,0.0,2170.8922026375585,0
NV,pershing,0.0,0.0,0
WI,vilas,7106.535314150005,14969.567695444035,0
TX,gillespie,12930.398809773216,9502.542081730258,0
WV,cabell,23749.150479093558,26370.031240357443,0
TX,cameron,108450.04450804192,57645.10932601186,1
MI,clare,0.0,9472.03862914775,0
UT,davis,96776.85071880475,62247.558780927764,0
NY,dutchess,90408.53968664589,52019.77937384587,0
TX,motley,0.0,7404.759058010353,0
VA,henrico,103238.09455653993,58867.64563231783,0
MN,grant,0.0,6393.900738839244,0
VA,rappahannock,6323.741583342009,11211.064709415406,0
NM,taos,9914.587161397778,5961.026176122914,0
TX,smith,58158.25959610217,37914.7599378498,0
MN,yellow medicine,0.0,2541.6275114644195,0
MN,pipestone,0.0,4347.0438985386845,0
TX,somervell,0.0,2571.368971191936,0
IN,benton,0.0,6107.427157514929,0
WV,hampshire,0.0,10932.782453181784,0
PA,columbia,10925.980328346412,16691.362111090097,0
TX,ector,27775.529010230683,8750.366460696658,0
MD,howard,115853.39736250843,52501.2992112365,0
TN,jefferson,3678.2309834942535,12327.121986660255,0
VA,manassas city,8732.980556626844,0.0,1
MN,scott,46205.4285349544,23513.774729406894,0
PA,northampton,87054.97684235296,53634.5863744944,0
TN,fentress,0.0,10829.32285450292,0
TN,dyer,419.8133445320236,8163.820812034137,0
WI,burnett,0.0,9678.175049666655,0
NJ,monmouth,197143.12464248927,114210.02009497347,0
IN,brown,917.7433995847787,9765.998031992589,0
TX,chambers,1161.526195766277,0.0,0
VA,roanoke city,22406.73064960042,15396.967829537243,0
NY,putnam,37003.52112461439,12316.176226940508,0
NM,san juan,21281.55248919246,11433.793105294842,1
WY,crook,0.0,6114.127585801043,0
MI,ingham,86080.40294889481,59512.65726135549,0
TN,obion,0.0,8541.280534367568,0
PA,franklin,36586.77229436325,28094.640896501074,0
MT,lake,3733.0047657875366,10821.153006970251,0
UT,cache,31817.60863521754,29566.6640578369,0
OH,fayette,0.0,7305.075677459759,0
VA,accomack,875.3423098777748,6309.805381414055,0
FL,pasco,139875.05961402017,89073.46845651465,0
NY,nassau,413885.42100403376,240497.6147566411,1
ND,towner,0.0,2805.935926865248,0
IN,kosciusko,14007.87550851716,15395.35698593847,0
NE,colfax,0.0,0.0,1
TX,frio,0.0,0.0,0
MT,madison,2931.167780184882,12011.892491023098,0
WA,island,25200.87357085004,18077.817893981402,0
TX,andrews,0.0,0.0,0
TN,hardin,0.0,7923.956536809263,0
NE,dundy,0.0,7216.662757465896,0
VA,chesapeake city,67464.00319086769,37014.50217603022,0
NE,hayes,0.0,7379.909026610572,0
TX,parmer,0.0,0.0,0
NE,buffalo,12865.10911390814,16630.022179500666,0
PA,carbon,8740.593532211278,11797.422718258067,0
NJ,atlantic,77040.25769220639,42346.031504293365,0
TX,kimble,0.0,0.0,0
NE,seward,227.0675915529282,8464.626403364788,0
OH,lake,65966.32718819389,43100.637302544535,0
TX,tom green,24764.734994873925,15910.21758623949,0
TX,mason,0.0,5721.475220319351,0
NV,humboldt,0.0,0.0,0
IN,noble,0.0,7526.910338282281,0
WI,dunn,6625.048388796062,15349.73272554345,0
NY,lewis,0.0,8021.362274040737,0
IN,orange,0.0,6702.449046402255,0
TN,crockett,0.0,1860.0951339001222,0
MT,beaverhead,2643.6497864763696,14091.837516401483,0
MN,le sueur,416.5233499752321,5597.792335765325,0
MI,berrien,42779.35691380438,31563.562607242657,0
NY,otsego,15230.26281374468,20243.707245880545,0
TX,matagorda,0.0,0.0,0
OH,marion,4461.727672045814,10505.107946598004,0
WI,washburn,91.39743632961108,10925.502038414208,0
TN,cocke,0.0,10361.548370338898,0
TX,orange,10900.754270679387,11910.563234995956,0
MT,yellowstone,44044.426394755545,33311.44545792905,0
MD,carroll,52201.82813887222,30457.536432328234,0
UT,wayne,0.0,13995.14992762837,0
WY,park,10100.29388857709,11726.508754350243,0
PA,pike,14011.75991239104,10526.131275444839,0
MI,lenawee,20267.080033687256,20523.3871506599,0
NJ,burlington,138496.84294583037,78947.47951039384,0
WI,iowa,1258.2553663954968,9911.289674009671,0
PA,huntingdon,1000.3133758309777,10546.468541954095,0
PA,berks,116363.91513534095,73555.36214533649,0
IN,knox,0.0,8094.912456533972,0
ND,ramsey,0.0,4063.9322733962017,0
WA,klickitat,2662.5464623935804,6985.216060229601,0
TX,howard,0.0,0.0,0
MD,queen anne's,18657.865298786677,9550.690674030484,0
VA,buckingham,0.0,0.0,0
VA,rockingham,17980.47479113195,17949.14575989977,0
IN,henry,2808.282055551397,11221.4644137487,0
CT,litchfield,59631.334208265325,36740.12897783268,0
PA,erie,78712.51281661115,56208.310804429355,0
NY,albany,97524.22405849458,61238.615157961314,0
PA,bucks,193163.48362327102,116807.81525439268,0
WI,buffalo,0.0,7190.405174846177,0
PA,mckean,2011.9875493549225,11792.517957784448,0
NJ,cape may,30107.102434895016,20520.754380607767,0
TN,haywood,0.0,0.0,0
PA,fulton,0.0,5675.7737446203155,0
TX,jim wells,0.0,0.0,0
TX,lee,0.0,0.0,0
TX,williamson,151213.3623392499,87758.19077838145,0
TN,knox,135873.4536332172,91142.9551048688,0
IN,putnam,0.0,6890.023389312877,0
OH,noble,0.0,2313.188512332137,0
WY,big horn,0.0,5939.39695502537,0
MI,ionia,5774.958483999275,11977.148087773945,0
IN,daviess,0.0,6311.193091692532,0
VA,cumberland,0.0,2330.821356231645,0
ME,waldo,12118.401976713898,20111.278295680542,0
TN,scott,0.0,8881.56659961295,0
NE,stanton,0.0,2149.367867593679,0
MN,sherburne,21682.09990451242,15352.396606868231,0
NE,boyd,0.0,9153.283747637837,0
NY,orleans,570.3533668753698,7479.120494269475,0
WI,vernon,906.6818385907791,12610.22821515318,0
WI,oconto,1041.006152898517,8827.88472540301,0
VA,louisa,4211.485759525422,8552.258546689969,0
ME,aroostook,12139.914635594176,19503.573444987174,0
FL,sumter,41933.66623051565,26113.70608395396,0
TX,newton,0.0,730.4369241421155,0
MN,cook,12914.436153358702,16390.766233408536,1
TX,brooks,0.0,0.0,0
WY,hot springs,0.0,6147.416934179517,0
MI,kalkaska,0.0,6829.169108419965,0
FL,levy,0.0,8410.581646548097,0
WV,harrison,13594.510123210282,18227.849295883778,0
PA,butler,57913.69350217325,42134.459197931974,0
WI,price,0.0,8409.780297411626,0
WI,shawano,897.4244676276139,8736.58058935933,0
TN,carter,6001.703031891611,16269.371340081296,0
NY,genesee,10039.195661503676,14177.789593755697,0
MT,missoula,40556.93872454297,36586.055115268835,0
NY,jefferson,22867.913622812815,22730.56004754832,0
MN,itasca,7941.686489496944,14802.198455243088,0
ND,williams,0.0,0.0,0
WY,sheridan,8934.197344897482,12753.714456025635,0
NE,garden,0.0,6935.162555533874,0
TX,coleman,0.0,289.7236980922462,0
ND,ward,12382.092013742955,12316.838212582274,0
OH,wood,36173.9929741709,30401.757939939926,0
WV,wirt,0.0,5318.224192916252,0
NE,box butte,0.0,0.0,0
NM,los alamos,34563.12850589163,9755.234655454784,0
NY,bronx,414351.4253070517,244776.14715766726,1
NM,sierra,0.0,2660.02912296079,0
FL,palm beach,419952.65708024724,254368.14791791938,1
TX,haskell,0.0,0.0,0
MI,midland,26382.905446406192,24172.11346671441,0
NE,blaine,0.0,10325.93885360574,0
VA,bedford,21843.53784901295,20895.06430539326,0
OH,paulding,0.0,4632.881020098874,0
UT,millard,0.0,1986.323233942694,0
NJ,essex,236365.28759459904,135436.11714373704,1
TN,humphreys,0.0,6834.484973853478,0
UT,washington,40029.90096008551,30610.722734733994,0
TX,briscoe,0.0,1779.8903743979172,0
TX,wise,5931.241467161544,7291.869860860143,0
FL,volusia,146653.31061932354,94160.81506031571,0
PA,schuylkill,32070.043430585978,27261.372845661335,0
TX,willacy,0.0,0.0,0
CT,new london,81991.04791436854,49793.72092312273,0
TX,kinney,0.0,0.0,0
NE,saline,0.0,0.0,0
MI,tuscola,2831.8914139127082,13261.870884623562,0
ND,slope,2447.3784540624074,9913.679284622607,0
TX,val verde,0.0,0.0,0
WI,fond du lac,23152.792229701958,19608.761182843245,0
VA,powhatan,8249.513515103645,6481.122626649934,0
ND,richland,0.0,4996.624180467754,0
VA,york,29170.383898983644,11966.373948721834,0
MN,dodge,0.0,3803.483752697135,0
TX,dickens,0.0,0.0,0
FL,jefferson,0.0,2843.889618623827,0
TX,titus,0.0,0.0,0
MN,lyon,1947.951641464213,8679.63475797053,0
TX,hall,0.0,0.0,0
IN,spencer,0.0,6015.80848943994,0
WI,marquette,0.0,5295.117265489282,0
MI,allegan,25474.741634407248,23184.402411238294,0
ME,kennebec,32416.55599984365,30274.760563655953,0
TX,hidalgo,229544.1528307023,131979.9128677232,1
MD,montgomery,327227.13621511706,182180.43849423825,1
OH,wyandot,0.0,4640.691971095053,0
UT,summit,27851.160690178134,13858.140135641337,1
UT,rich,0.0,5299.57664263719,0
VA,clarke,4848.459696800295,5111.692467376299,0
NE,kearney,0.0,5452.424383324458,0
PA,mifflin,0.0,10002.21081150968,0
MI,charlevoix,7725.402159864963,15037.9842613563,0
TX,walker,8946.775730885694,9314.123047765943,0
NE,thurston,0.0,0.0,0
ND,traill,0.0,10280.498630620288,0
IN,clinton,0.0,2457.572051529245,0
ME,sagadahoc,14552.77249268759,17245.14254918586,0
AZ,greenlee,0.0,0.0,0
OH,meigs,0.0,9292.417288845385,0
VA,hanover,35319.67877322536,20776.059975923206,0
MT,chouteau,0.0,9967.779530999518,0
WI,sauk,12029.399157248296,14583.231473219108,0
ND,mchenry,0.0,4850.692236906163,0
TX,concho,0.0,0.0,1
MN,todd,0.0,6240.267420107857,0
WV,mingo,0.0,9839.890092893298,0
MN,winona,10626.830858956433,15941.771936790865,0
VA,rockbridge,4489.671693268221,11994.764729667648,0
NY,rensselaer,45763.24533169999,31582.67318999255,0
MI,isabella,12120.71993202996,21988.288843027232,0
TX,wharton,0.0,0.0,0
MD,harford,76974.60161840753,43647.203365152716,0
OH,van wert,0.0,7046.317772955772,0
TX,madison,0.0,0.0,0
TN,anderson,17730.576183698864,19439.796475154202,0
NM,lincoln,7048.217380639446,7242.442242916366,0
NJ,morris,165910.55688698834,88927.87383639412,0
ND,oliver,0.0,61.03930088645211,0
NE,wayne,2575.775441090558,12391.026409640366,0
